APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,APMC/Commodity,deseasonalise_price,seasonality_type
Akluj,Bitter Gourd,2015,May,60,1750,2475,2125,01-05-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",3205.525367,multiplicative
Akluj,Bitter Gourd,2016,May,69,2244,4050,4006,01-05-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",3244.15004,multiplicative
Akluj,Bitter Gourd,2014,November,77,2818,3800,3291,01-11-2014,Solapur,Maharashtra,"Akluj,Bitter Gourd",2936.549709,multiplicative
Akluj,Bitter Gourd,2015,November,44,1892,3208,3208,01-11-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",3410.930435,multiplicative
Akluj,Bitter Gourd,2014,October,48,1208,1815,1546,01-10-2014,Solapur,Maharashtra,"Akluj,Bitter Gourd",5033.385286,multiplicative
Akluj,Bitter Gourd,2015,October,63,1469,2644,2644,01-10-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",4425.404141,multiplicative
Akluj,Bitter Gourd,2016,October,96,1268,2116,1768,01-10-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",4000.682064,multiplicative
Akluj,Bitter Gourd,2014,September,70,1971,2750,2393,01-09-2014,Solapur,Maharashtra,"Akluj,Bitter Gourd",2183.238131,multiplicative
Akluj,Bitter Gourd,2015,September,98,1231,2000,2031,01-09-2015,Solapur,Maharashtra,"Akluj,Bitter Gourd",1288.69088,multiplicative
Akluj,Bitter Gourd,2016,September,204,705,1214,957,01-09-2016,Solapur,Maharashtra,"Akluj,Bitter Gourd",1859.135649,multiplicative
Akluj,Brinjal,2015,April,145,689,1221,1016,01-04-2015,Solapur,Maharashtra,"Akluj,Brinjal",1941.202159,multiplicative
Akluj,Brinjal,2016,April,82,1333,2389,2356,01-04-2016,Solapur,Maharashtra,"Akluj,Brinjal",1779.479565,multiplicative
Akluj,Brinjal,2015,August,218,956,1611,1611,01-08-2015,Solapur,Maharashtra,"Akluj,Brinjal",3457.390379,multiplicative
Akluj,Brinjal,2016,August,168,1629,2842,2842,01-08-2016,Solapur,Maharashtra,"Akluj,Brinjal",2399.549288,multiplicative
Akluj,Brinjal,2014,December,94,2106,3189,2667,01-12-2014,Solapur,Maharashtra,"Akluj,Brinjal",1585.934018,multiplicative
Akluj,Brinjal,2015,December,127,1128,2022,2022,01-12-2015,Solapur,Maharashtra,"Akluj,Brinjal",1502.856341,multiplicative
Akluj,Brinjal,2015,February,83,680,1380,1020,01-02-2015,Solapur,Maharashtra,"Akluj,Brinjal",944.8271172,multiplicative
Akluj,Brinjal,2016,February,124,831,1331,1331,01-02-2016,Solapur,Maharashtra,"Akluj,Brinjal",1159.335009,multiplicative
Akluj,Brinjal,2015,January,95,1205,2084,1600,01-01-2015,Solapur,Maharashtra,"Akluj,Brinjal",1603.069922,multiplicative
Akluj,Brinjal,2016,January,111,1119,1894,1894,01-01-2016,Solapur,Maharashtra,"Akluj,Brinjal",1503.18618,multiplicative
Akluj,Brinjal,2015,July,152,1006,1713,1713,01-07-2015,Solapur,Maharashtra,"Akluj,Brinjal",1489.117483,multiplicative
Akluj,Brinjal,2016,July,174,1510,2571,2571,01-07-2016,Solapur,Maharashtra,"Akluj,Brinjal",1513.366947,multiplicative
Akluj,Brinjal,2015,June,172,1274,2000,1826,01-06-2015,Solapur,Maharashtra,"Akluj,Brinjal",1585.71452,multiplicative
Akluj,Brinjal,2016,June,195,1424,2418,2418,01-06-2016,Solapur,Maharashtra,"Akluj,Brinjal",1699.306223,multiplicative
