APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Buldhana-Dhad,MAIZE,2016,1006,1213,207,20.576540755467196
Dondaicha,MAIZE,2016,1249,1455,206,16.493194555644514
Malegaon,MAIZE,2016,1078,1283,205,19.01669758812616
Shrirampur-Belapur,MAIZE,2016,935,1140,205,21.925133689839573
Varora,COTTON,2016,4659,4863,204,4.3786220218931104
Varud,MAIZE,2016,1085,1289,204,18.80184331797235
Chikhali,SORGUM(JAWAR),2016,1198,1400,202,16.86143572621035
Ahmednagar,PIGEON PEA (TUR),2016,5051,5252,201,3.9794100178182537
Kolhapur-Laxmipuri,BAJRI,2016,1906,2106,200,10.49317943336831
Varud-Rajura Bazar,PIGEON PEA (TUR),2016,6050,6250,200,3.3057851239669422
